country,vaccine,year,immunization_coverage
geo,dtp3,1999,84.0
geo,dtp3,2000,80.0
geo,dtp3,2001,87.0
geo,dtp3,2002,84.0
geo,dtp3,2003,75.0
geo,dtp3,2004,78.0
geo,dtp3,2005,82.0
geo,dtp3,2006,88.0
geo,dtp3,2007,98.0
geo,dtp3,2008,92.0
geo,dtp3,2009,88.0
geo,dtp3,2010,92.0
geo,dtp3,2011,94.0
geo,dtp3,2012,92.0
geo,dtp3,2013,93.0
geo,dtp3,2014,91.0
geo,dtp3,2015,94.0
geo,dtp3,2016,92.0
geo,dtp3,2017,91.0
gha,bcg,1983,31.0
gha,bcg,1984,41.0
gha,bcg,1985,41.0
gha,bcg,1986,55.0
gha,bcg,1987,69.0
gha,bcg,1988,70.0
gha,bcg,1989,70.0
gha,bcg,1990,71.0
gha,bcg,1991,77.0
gha,bcg,1992,83.0
gha,bcg,1993,85.0
gha,bcg,1994,86.0
gha,bcg,1995,87.0
gha,bcg,1996,87.0
gha,bcg,1997,88.0
gha,bcg,1998,90.0
gha,bcg,1999,98.0
gha,bcg,2000,99.0
gha,bcg,2001,94.0
gha,bcg,2002,92.0
gha,bcg,2003,92.0
gha,bcg,2004,92.0
gha,bcg,2005,99.0
gha,bcg,2006,99.0
gha,bcg,2007,99.0
gha,bcg,2008,99.0
gha,bcg,2009,99.0
gha,bcg,2010,99.0
gha,bcg,2011,98.0
gha,bcg,2012,98.0
gha,bcg,2013,98.0
gha,bcg,2014,99.0
gha,bcg,2015,97.0
gha,bcg,2016,94.0
gha,bcg,2017,99.0
gha,dtp1,1980,27.0
gha,dtp1,1981,46.0
gha,dtp1,1982,47.0
gha,dtp1,1983,47.0
gha,dtp1,1984,42.0
gha,dtp1,1985,46.0
gha,dtp1,1986,60.0
gha,dtp1,1987,67.0
gha,dtp1,1988,72.0
gha,dtp1,1989,75.0
gha,dtp1,1990,80.0
gha,dtp1,1991,82.0
gha,dtp1,1992,83.0
gha,dtp1,1993,86.0
gha,dtp1,1994,88.0
gha,dtp1,1995,88.0
gha,dtp1,1996,88.0
gha,dtp1,1997,88.0
gha,dtp1,1998,87.0
gha,dtp1,1999,86.0
gha,dtp1,2000,96.0
gha,dtp1,2001,81.0
gha,dtp1,2002,84.0
gha,dtp1,2003,87.0
gha,dtp1,2004,88.0
gha,dtp1,2005,88.0
gha,dtp1,2006,87.0
gha,dtp1,2007,96.0
gha,dtp1,2008,96.0
gha,dtp1,2009,96.0
gha,dtp1,2010,96.0
gha,dtp1,2011,94.0
gha,dtp1,2012,92.0
gha,dtp1,2013,94.0
gha,dtp1,2014,99.0
gha,dtp1,2015,97.0
gha,dtp1,2016,94.0
gha,dtp1,2017,99.0
gha,dtp3,1980,7.0
gha,dtp3,1981,22.0
gha,dtp3,1982,23.0
gha,dtp3,1983,23.0
gha,dtp3,1984,19.0
gha,dtp3,1985,22.0
gha,dtp3,1986,35.0
gha,dtp3,1987,42.0
gha,dtp3,1988,47.0
gha,dtp3,1989,51.0
gha,dtp3,1990,58.0
gha,dtp3,1991,60.0
gha,dtp3,1992,62.0
gha,dtp3,1993,66.0
gha,dtp3,1994,70.0
gha,dtp3,1995,70.0
gha,dtp3,1996,71.0
gha,dtp3,1997,71.0
gha,dtp3,1998,76.0
gha,dtp3,1999,79.0
gha,dtp3,2000,88.0
gha,dtp3,2001,79.0
gha,dtp3,2002,78.0
gha,dtp3,2003,80.0
gha,dtp3,2004,80.0
gha,dtp3,2005,84.0
gha,dtp3,2006,84.0
gha,dtp3,2007,94.0
gha,dtp3,2008,93.0
gha,dtp3,2009,94.0
gha,dtp3,2010,94.0
gha,dtp3,2011,91.0
gha,dtp3,2012,92.0
gha,dtp3,2013,90.0
gha,dtp3,2014,98.0
gha,dtp3,2015,88.0
gha,dtp3,2016,93.0
gha,dtp3,2017,99.0
gin,bcg,1981,4.0
gin,bcg,1982,7.0
gin,bcg,1983,10.0
gin,bcg,1984,14.0
gin,bcg,1985,18.0
gin,bcg,1986,23.0
gin,bcg,1987,27.0
gin,bcg,1988,31.0
gin,bcg,1989,31.0
gin,bcg,1990,50.0
gin,bcg,1991,60.0
gin,bcg,1992,65.0
gin,bcg,1993,70.0
gin,bcg,1994,75.0
gin,bcg,1995,78.0
gin,bcg,1996,77.0
gin,bcg,1997,76.0
gin,bcg,1998,76.0
gin,bcg,1999,82.0
gin,bcg,2000,81.0
gin,bcg,2001,81.0
gin,bcg,2002,80.0
gin,bcg,2003,80.0
gin,bcg,2004,79.0
gin,bcg,2005,80.0
gin,bcg,2006,81.0
gin,bcg,2007,84.0
gin,bcg,2008,87.0
gin,bcg,2009,91.0
gin,bcg,2010,93.0
gin,bcg,2011,82.0
gin,bcg,2012,77.0
gin,bcg,2013,71.0
gin,bcg,2014,66.0
gin,bcg,2015,72.0
gin,bcg,2016,72.0
gin,bcg,2017,72.0
gin,dtp1,1982,37.0
gin,dtp1,1983,37.0
gin,dtp1,1984,37.0
gin,dtp1,1985,37.0
gin,dtp1,1986,37.0
gin,dtp1,1987,37.0
gin,dtp1,1988,39.0
gin,dtp1,1989,40.0
gin,dtp1,1990,40.0
gin,dtp1,1991,61.0
gin,dtp1,1992,76.0
gin,dtp1,1993,77.0
gin,dtp1,1994,77.0
gin,dtp1,1995,77.0
gin,dtp1,1996,72.0
gin,dtp1,1997,72.0
gin,dtp1,1998,72.0
gin,dtp1,1999,57.0
gin,dtp1,2000,61.0
gin,dtp1,2001,64.0
gin,dtp1,2002,68.0
gin,dtp1,2003,71.0
gin,dtp1,2004,75.0
gin,dtp1,2005,75.0
gin,dtp1,2006,75.0
gin,dtp1,2007,76.0
gin,dtp1,2008,64.0
gin,dtp1,2009,76.0
gin,dtp1,2010,86.0
gin,dtp1,2011,76.0
gin,dtp1,2012,70.0
gin,dtp1,2013,64.0
gin,dtp1,2014,58.0
gin,dtp1,2015,63.0
gin,dtp1,2016,63.0
gin,dtp1,2017,63.0
gin,dtp3,1982,15.0
gin,dtp3,1983,15.0
gin,dtp3,1984,15.0
gin,dtp3,1985,15.0
gin,dtp3,1986,15.0
gin,dtp3,1987,15.0
gin,dtp3,1988,16.0
gin,dtp3,1989,17.0
gin,dtp3,1990,17.0
gin,dtp3,1991,36.0
gin,dtp3,1992,52.0
gin,dtp3,1993,53.0
gin,dtp3,1994,53.0
gin,dtp3,1995,54.0
gin,dtp3,1996,48.0
gin,dtp3,1997,47.0
gin,dtp3,1998,56.0
gin,dtp3,1999,43.0
gin,dtp3,2000,46.0
gin,dtp3,2001,50.0
gin,dtp3,2002,53.0
gin,dtp3,2003,57.0
gin,dtp3,2004,60.0
gin,dtp3,2005,59.0
gin,dtp3,2006,57.0
gin,dtp3,2007,63.0
gin,dtp3,2008,60.0
gin,dtp3,2009,57.0
gin,dtp3,2010,64.0
gin,dtp3,2011,63.0
gin,dtp3,2012,53.0
gin,dtp3,2013,44.0
gin,dtp3,2014,34.0
gin,dtp3,2015,45.0
gin,dtp3,2016,45.0
gin,dtp3,2017,45.0
gmb,bcg,1980,85.0
gmb,bcg,1981,96.0
gmb,bcg,1982,91.0
gmb,bcg,1983,96.0
gmb,bcg,1984,98.0
gmb,bcg,1985,92.0
gmb,bcg,1986,96.0
gmb,bcg,1987,97.0
gmb,bcg,1988,96.0
gmb,bcg,1989,98.0
gmb,bcg,1990,98.0
gmb,bcg,1991,97.0
gmb,bcg,1992,97.0
gmb,bcg,1993,98.0
gmb,bcg,1994,99.0
gmb,bcg,1995,99.0
gmb,bcg,1996,99.0
gmb,bcg,1997,99.0
gmb,bcg,1998,99.0
gmb,bcg,1999,98.0
gmb,bcg,2000,99.0
gmb,bcg,2001,99.0
gmb,bcg,2002,99.0
gmb,bcg,2003,99.0
gmb,bcg,2004,99.0
gmb,bcg,2005,99.0
gmb,bcg,2006,97.0
gmb,bcg,2007,97.0
gmb,bcg,2008,95.0
gmb,bcg,2009,94.0
gmb,bcg,2010,92.0
gmb,bcg,2011,90.0
gmb,bcg,2012,98.0
gmb,bcg,2013,98.0
gmb,bcg,2014,96.0
gmb,bcg,2015,98.0
gmb,bcg,2016,98.0
gmb,bcg,2017,94.0
gmb,dtp1,1980,89.0
gmb,dtp1,1981,87.0
gmb,dtp1,1982,91.0
gmb,dtp1,1983,88.0
gmb,dtp1,1984,91.0
gmb,dtp1,1985,90.0
gmb,dtp1,1986,93.0
gmb,dtp1,1987,95.0
gmb,dtp1,1988,96.0
gmb,dtp1,1989,96.0
gmb,dtp1,1990,98.0
gmb,dtp1,1991,96.0
gmb,dtp1,1992,97.0
gmb,dtp1,1993,99.0
gmb,dtp1,1994,99.0
gmb,dtp1,1995,99.0
gmb,dtp1,1996,99.0
gmb,dtp1,1997,98.0
gmb,dtp1,1998,98.0
gmb,dtp1,1999,97.0
gmb,dtp1,2000,97.0
gmb,dtp1,2001,97.0
gmb,dtp1,2002,96.0
gmb,dtp1,2003,97.0
gmb,dtp1,2004,96.0
gmb,dtp1,2005,95.0
gmb,dtp1,2006,98.0
gmb,dtp1,2007,98.0
gmb,dtp1,2008,96.0
gmb,dtp1,2009,98.0
gmb,dtp1,2010,99.0
gmb,dtp1,2011,99.0
gmb,dtp1,2012,99.0
gmb,dtp1,2013,99.0
gmb,dtp1,2014,98.0
gmb,dtp1,2015,99.0
gmb,dtp1,2016,99.0
gmb,dtp1,2017,93.0
gmb,dtp3,1980,63.0
gmb,dtp3,1981,76.0
gmb,dtp3,1982,80.0
gmb,dtp3,1983,62.0
gmb,dtp3,1984,70.0
gmb,dtp3,1985,78.0
gmb,dtp3,1986,73.0
gmb,dtp3,1987,85.0
gmb,dtp3,1988,82.0
gmb,dtp3,1989,87.0
gmb,dtp3,1990,92.0
gmb,dtp3,1991,85.0
gmb,dtp3,1992,85.0
gmb,dtp3,1993,90.0
gmb,dtp3,1994,93.0
gmb,dtp3,1995,96.0
gmb,dtp3,1996,96.0
gmb,dtp3,1997,96.0
gmb,dtp3,1998,85.0
gmb,dtp3,1999,74.0
gmb,dtp3,2000,80.0
gmb,dtp3,2001,87.0
gmb,dtp3,2002,87.0
gmb,dtp3,2003,87.0
gmb,dtp3,2004,87.0
gmb,dtp3,2005,95.0
gmb,dtp3,2006,95.0
gmb,dtp3,2007,95.0
gmb,dtp3,2008,96.0
gmb,dtp3,2009,98.0
gmb,dtp3,2010,97.0
gmb,dtp3,2011,96.0
gmb,dtp3,2012,98.0
gmb,dtp3,2013,97.0
gmb,dtp3,2014,96.0
gmb,dtp3,2015,97.0
gmb,dtp3,2016,95.0
gmb,dtp3,2017,92.0
gnb,bcg,1984,42.0
gnb,bcg,1985,56.0
gnb,bcg,1986,69.0
gnb,bcg,1987,82.0
gnb,bcg,1988,89.0
gnb,bcg,1989,95.0
gnb,bcg,1990,90.0
gnb,bcg,1991,94.0
gnb,bcg,1992,99.0
gnb,bcg,1993,96.0
gnb,bcg,1994,95.0
gnb,bcg,1995,92.0
gnb,bcg,1996,68.0
gnb,bcg,1997,82.0
gnb,bcg,1998,78.0
gnb,bcg,1999,74.0
gnb,bcg,2000,77.0
gnb,bcg,2001,79.0
gnb,bcg,2002,82.0
gnb,bcg,2003,84.0
gnb,bcg,2004,87.0
gnb,bcg,2005,89.0
gnb,bcg,2006,90.0
gnb,bcg,2007,92.0
gnb,bcg,2008,93.0
gnb,bcg,2009,94.0
gnb,bcg,2010,93.0
gnb,bcg,2011,92.0
gnb,bcg,2012,94.0
gnb,bcg,2013,94.0
gnb,bcg,2014,94.0
gnb,bcg,2015,94.0
gnb,bcg,2016,94.0
gnb,bcg,2017,94.0
gnb,dtp1,1983,45.0
gnb,dtp1,1984,57.0
gnb,dtp1,1985,57.0
gnb,dtp1,1986,88.0
gnb,dtp1,1987,87.0
